,PMID/PMCID,Publisher,Journal title,Article title,Cost
43,NA,American Psychiatric Association,american journal of psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,2351.73
44,23599091,American Psychiatric Publishing,americal journal of psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,2350.02
45,23025831/3462035,American Psychological Association,behavioral neuroscience,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,3021.72
46,23731076/3670620,American Psychological Association,behavioral neuroscience,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,3209.63
47,23244291/3569044,American Psychological Association,behavioral neuroscience,The Neural Basis of Nonvisual Object Recognition,3211.77
48,3444304,American Psychological Association,emotion,"Subjective responses to emotional stimuli during labeling, reappraisal, and distraction ",2534.53
49,23477577/3727344,American Psychological Association,health psychology,Behavior change techniques used to promote walking and cycling: a systematic review,3188.3
50,3357114,American Psychological Association,journal of abnormal psychology,Lightening the Load: Perceptual Load Impairs Visual Detection in Typical Adults but not in Autism,2534.53
51,3450431,American Psychological Association,journal of consulting and clinical psychology,"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis). 
",3037.86
52,23668184,American Psychological Association,journal of experimental psychology:  animal behaviour process,Asymmetry in the Discrimination of Length During Spatial Learning,3144.24
53,3607463,American Psychological Association,journal of experimental psychology: human perception and performance,Collective enumeration,2659.32
54,23421830/3576129,American Psychological Association,journal of family psychology,The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems,3092.18
55,3437796,American Psychological Association,psychological assessment,The factor structure of the autobiographical memory test in recent trauma survivors,2973.32
56,3444305,American Psychological Association,psychological review,Generalization through the recurrent interaction of episodic memories: a model of the hippocampal system,2534.53
57,3444173,American Psychological Association,"psychological trauma: theory research, practice and policy",Investigating cognitive pathways to psychopathology: predicting depression and posttraumatic stress disorder from early responses after assault,2973.32
58,3725889,American Psychological Association ,journal of experimental psychology: human perception and performance,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,2561.4
59,23409903/23409903,American Public Health Association,american journal of public health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,1422.25
60,3576085,American Soc for Biochemistry and Molecular Biology,journal of biological chemistry,Understanding how noncatalytic carbohydrate binding modules can display specificity for xyloglucan,1100.0
61,23239883/3561570,American Society for Biochemistry and Molecular Biolgy,journal of biological chemistry,"Molecular architecture and functional analysis of NetB, a pore-forming toxin from Clostridium perfringens",2259.64
62,3481300,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,1487.46
63,3234852,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.,1531.08
64,3642348,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Human and viral golgi anti-apoptotic protein (GAAP) oligomerize via different mechanisms and monomeric GAAP inhibits apoptosis and modulates calcium,1019.71
65,22992744/3493908,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Dynamic exchange of myosin VI on endocytic structures,1119.61
66,3531748,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK",1131.01
67,3436574,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases,1137.51
68,23223336/3543027,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Visualization of structural changes accompanying activation of NMDA receptors using fast-scan AFM imaging,1152.72
69,3795252,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,SLP-76 sterile alpha motif (SAM) and individual H alpha helix mediates oligomer formation for microclusters and T-cell activation,1160.09
70,3724652,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,?-Amino-3-hydroxy-5-methyl-4-isoxazole propionic acid (AMPA) and N-methyl-D-aspartate (NMDA) receptors adopt different subunit arrangements.,1166.85
71,3597794,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure ,1261.44
72,3522294,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,1276.08
73,3774408,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,"P2X receptor chimeras highlight roles of the amino terminus to partial agonist efficacy, the carboxyl terminus to recovery from desensitization, and independent regulation of channel transitions",1540.0
74,3610987,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Caspase inhibitors protect neurons by enabling selective necroptosis of inflamed microglia,1586.36
75,3610976,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â",1664.94
76,3696691,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,ZINC-INDUCED SELF-ASSOCIATION OF COMPLEMENT C3b AND FACTOR H: IMPLICATIONS FOR INFLAMMATION AND AGE-RELATED MACULAR DEGENERATION,1743.84
77,23344959/3585060,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,ca2+ signalling through catsper and ca2+ stores regulate different behaviours in human sperm,2501.07
78,3481303,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry,955.0
79,3789947,American Society for Biochemistry and Molecular Biology,journal of biological chemistry,Mechanism for Recognition of an Unusual Mycobacterial Glycolipid,969.68
80,3663556,American Society for Biochemistry and Molecular Biology ,journal of biological chemistry,Endomembrane HRas controls vascular endothelial growth factor-induced nitric oxide synthase-mediated endothelial cell migration,1166.6
81,3947303,American Society for Investigative Pathology,american journal of pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,995.31
82,23856774/3811480,American Society for Microbiology,antimicrobial agents and chemotherapy,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,1287.19
83,3553740,American Society for Microbiology,antimicrobial agents and chemotherapy,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,1287.2
84,23817378/3754341,American Society for Microbiology,antimicrobial agents and chemotherapy,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,1521.66
85,23877697,American Society for Microbiology,antimicrobial agfents and chemotherapy,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,3750.05
86,3675966,American Society for Microbiology,clinical and vaccine immunology,The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae,743.85
87,3697472,American Society for Microbiology,eukaryotic cell,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.",1653.18
88,3571300,American Society for Microbiology,eukaryotic cell,Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes,2316.16
89,22988015/3497410,American Society for Microbiology,infection and immunity,Dectin-1 is not required for controlling Candida albicans colonisation of the murine gastrointestinal tract,1910.82
90,NA,American Society for Microbiology,infection and immunity,Analysis of antibodies to newly described plasmodium falciparum merozoite antigens supports ...,2034.0
91,3497412,American Society for Microbiology,infection and immunity,Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis,2249.43
92,3754575,American Society for Microbiology,journal of bacteriology,The agr locus sregulates virulence and colonization genes in clostridium difficile 027,1343.82
93,NA,American Society for Microbiology,journal of virology,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,1312.59
94,23152534/3554137,American Society for Microbiology,journal of virology,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)",1549.44
95,3648151,American Society for Microbiology,journal of virology,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,1585.64
96,3518918,American Society for Microbiology,mbio,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation,1586.75
97,3624257,American Society for Microbiology,molecular and cellular biology,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation,2363.45
98,3697669,American Society for Microbiology ,journal of clinical microbiology,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],1503.47
99,3554100,"American Society for Microbiology 
",journal of virology,"Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells 
",1871.85
100,NA,American Society for Nutrition,american society for nutrition,The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa,45.94
101,NA,American Society of Haematology,blood,Disease-associated missense mutations in the EVH1 domain disrupt intrinsic WASp function causing dysregulated actin dynamics and impaired dendritic cell migration,1260.26
102,NA,American Society of Haematology,blood,SAP gene transfer restores cellular and humoral immune function in a murine model of X-linked lymphoproliferative disease,1260.26
103,23255554/3653566,American Society of Hamatology,blood journal 2012,Peptide Length Determines the Outcome of T Cell Receptor/Peptide-MHCI Engagement,1597.98
104,NA,American Society of Hematology,blood,Super-resolution imaging of remodeled synaptic actin reveals different synergies between NK cell receptors and integrins.,1230.4
105,3501641,American Society of Hematology,blood,Induction of IL-4Ra-dependent microRNAs identifies PI3K/Akt signaling as essential for IL-4-driven murine macrophage proliferation in vivo,1288.14
106,3596968,American Society of Hematology,blood,Siglec-E is a negative regulator of acute pulmonary neutrophil inflammation and suppresses CD11b ?2-integrin-dependent signaling,1340.75
107,23002116/3790949,American Society of Hematology,blood,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel.,1527.2
108,3689249,American Society of Hematology,blood,Characterization of a novel NKG2D and NKp46 double-mutant mouse reveals subtle variations in the NK cell repertoire,1543.44
109,23043070/3790942,American Society of Hematology,blood journal 2012,Epidermis instructs skin homing receptor expression in human T cells,1578.43
110,3397259,American Society of Human Genetics (Elsevier),the american journal of human genetics,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,2181.09
111,3697654,American Society of Microbiology,jounral of clinical microbiology,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,1364.47
112,22875964/3457148,American Society of Microbiology,journal of virology,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein",1247.41
113,3624379,American Society of Microbiology,journal of virology,Genetic variability and the classification of hepatitis E virus,2019.89
114,NA,American Speech-Language-Hearing Association,speech language and hearing research,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,1969.02
115,3581401,ASBMB,biological chemistry,MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION,946.55
116,3591638,ASBMB,biologicial chemistry,Molecular Basis for Jagged-1 Serrate,1281.59
117,3438964,ASBMB,journal of biological chemistry,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,1290.23
118,3308871,ASBMB,journal of biological chemistry,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family. ,1508.97
119,3265891,ASBMB,journal of biological chemistry,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.,1521.32
120,3597819,ASBMB,journal of biological chemistry,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases,1334.16
121,23129765/3531760,ASBMB,journal of biological chemistry,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses,1134.5
122,3516716,ASBMB,journal of biological chemistry,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)",1150.6
123,3581394,ASBMB,journal of biological chemistry,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation,1225.26
124,3554938,ASBMB,journal of biological chemistry,Deubiquitinases regulate the activity of caspase-1 and IL-1? secretion via assembly of the inflammasome,1246.42
125,2757965,ASBMB,journal of biological chemistry,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling,1246.76
126,NA,ASBMB,journal of biological chemistry,Matrilin-1 A-domains: structural and functional investigations reveal insights into their role in cartilage ecm assembly,1260.9
127,3234717,ASBMB,journal of biological chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,1276.08
128,3173209,ASBMB,journal of biological chemistry,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,1286.86
129,3696646,ASBMB,journal of biological chemistry,Comparative Proteomic Analysis of Supportive and Unsupportive Extracellular Matrix Substrates for Human Embryonic Stem Cell Maintenance.,1287.75
130,3682544,ASBMB,journal of biological chemistry,STRUCTURAL ANALYSIS OF COLLAGEN TYPE I INTERACTIONS WITH HUMAN FIBRONECTIN REVEALS A COOPERATIVE BONDING MODE,1314.53
131,3431625,ASBMB,journal of biological chemistry,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness,1343.39
132,3488092,ASBMB,journal of biological chemistry,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking,1443.99
133,3591641/2339840,ASBMB,journal of biological chemistry,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors,1545.1
134,3630886,ASBMB,journal of biological chemistry,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,1552.26
135,2952269,ASBMB,journal of biological chemistry,SSS1p is required to complete protein translocon activation,1556.61
136,3121340,ASBMB,journal of biological chemistry,Preferential Targeting of a Signal Recognition Particle-dependent Precursor ,1556.61
137,3567677,ASBMB,journal of biological chemistry,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,1572.24
138,3774368,ASBMB,journal of biological chemistry,Functional properties of five Dictyostelium discoideum P2X receptors,1580.47
139,3630861,ASBMB,journal of biological chemistry,Cross-species Analysis Reveals Evolving And Conserved Features of the Nuclear Factor kB (NF-kB) Proteins.,1600.25
140,23569211/3668706,ASBMB,journal of biological chemistry,Highly divergent T cell receptor binding models underlie specific recognition of a bulged viral peptide bound to HLA,1609.66
141,3488048,ASBMB,journal of biological chemistry,Biophysical analysis of Kindlin-3 reveals an elongated conformation and maps integrin binding to the membrane-distal ?-subunit NPXY motif.,1610.31
142,3724654,ASBMB,journal of biological chemistry,Differential Virulence of Candida glabrata Glycosylation Mutants,1621.62
143,2797226,ASBMB,journal of biological chemistry,Nucleotide Binding by Lhs1p Is Essential for Its Nucleotide Exchange Activity and for Function in Vivo,1707.08
144,3442528,ASBMB,journal of biological chemistry,Hypoxia-inducible factor-1a (HIF1a) switches on transient receptor potential ankryn repeat 1 (TRPA1) gene expression via a hypoxia response element-like motif to modulate cytokine release,1763.21
145,2898433,ASBMB,journal of biological chemistry,Interactions between Kar2p and its nucleotide exchange factors Sil1p and Lhs1p are mechanistically distinct,2003.13
146,3397837,ASBMB,journal of biological chemistry,Specific ?-containing integrins exert differential control on proliferation and 2D collective cell migration in mammary epithelial cells,2032.22
147,3750171,ASBMB,journal of biological chemistry,Hepatitis C virus NS5 inhibits mixed lineage kinase 3 to block apoptosis,2311.57
148,2975197,ASBMB,journal of biological chemistry,Cell Cycle-dependent Regulation of the Forkhead Transcription Factor FOXK2 by CDK·Cyclin Complexes,2344.79
149,3234811,ASBMB,journal of biological chemistry,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells,999999.0
150,3137072,ASBMB,journal of biological chemistry,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins",917.5
151,3522295,ASBMB,journal of biological chemistry,"Direct and indirect control of MAPK pathway associated components, BRAP/IMP and CRAF, by
the deubiquitylating enzyme USP15*",929.31
152,3711325,ASBMB,journal of biological chemistry,Glycoprotein biosynthesis in a eukaryote lacking the membrane protein rft1,992.01
153,3591657,ASBMB,mcp (molecular and cellular proteomics),Global Subcellular Characterisation of Protein Degradation using Quantitative Proteomics,1294.01
154,3734580,ASBMB,molecular and cellular proteomics,Heterogeneity in neutrophil microparticles reveals distinct proteome and function properties,1545.7
155,3173209,ASBMB,journal of biological chemistry,The T-cel receptor triggering apparatus is composed of monovalent or monomeric proteins,1281.15
156,3772201,ASBMB,journal of biological chemistry,Galactose 6-o-sulfotransferases are not required for the generation of siglec-f ligands in leukocytes or lung tissue.,1311.73
157,3663545,ASBMB,journal of biological chemistry,Allosteric activation of trypanosomatid deoxyhypusine synthase by a catalytically dead paralog,1324.57
158,3630849,ASBMB,journal of biological chemistry,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi,1340.75
159,3527912,ASBMB,journal of biological chemistry,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain,1518.46
160,23698002/3696650,ASBMB,journal of biological chemistry,T-Cell Receptor specifically maintained by altered thermodyamics,1566.89
161,23443656,ASBMB Cadmus,jnl biological chemistry,Biochemical and immunological characterisation of Toxoplasma gondii macrophage migration inhibitory factor,381.04
162,3391134,ASBMB/Cadmus,journal biological chemistry,Defining the requirements for collagenase cleavage in collagen type III using a bacterial collagen system.,938.75
163,3757190,ASBMB/Cenveo Publisher Services,journal of biological chemistry,Fused in Sarcoma (FUS) Protein Lacking Nuclear Localization Signal (NLS) and Major RNA Binding Motifs Triggers Proteinopathy,1188.39
164,23589301,ASBMC /CENVEO,journal of biological chemistry,Defining the molecular basis for the first potent and selective orthosteric agonists of the FFA2 free fatty acid receptor ,1055.07
165,3811811,ASM,infection and immunity,Zebrafish as a novel vertebrate model to dissect enterococcal pathogenesis,1529.54
166,3571495,ASM,journal of virology,Estimating the Rate of Intersubtype Recombination in Early HIV-1 Group M Strains,1901.79
167,3697379,ASM (American Society for Microbiology),antimicrobial agents and chemotherapy,Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay,1299.39
168,3826327,Association for Research in Vision & Ophthalmology,journal of vision,Does optic flow parsing depend on prior estimation of heading?,1157.88
169,23409763,Bentham Science Publishers,current topics in medicinal chemistry,The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs,2291.22
170,23885220/3706957,Benthan Science Publishers,current analytical chemistry,Ion mobility spectrometry-mass spectrometry of intrinsically unfolded proteins: trying to put order into disorder,2142.99
171,NA,Berhahn Books,"evidence, ethos and experiment: the anthropology and history of medical research in africa.",Parasite lost - remembering modern times with Kenyan government medical scientists.,651.25
172,NA,Berhahn Books,"evidence, ethos and experiment: the anthropology and history of medical research in africa.","Studying trial Communities: anthropological and historical enquiries and ethos, politics and economy of medical research in Africa.",651.25
173,23713614,Biochem Journal,biochem journal,Proteolytic Processing of QSOX1A Ensures Efficient Secretion of a Potent Disulfide Catalyst,1800.0
174,23769672,Biochem Journal,molecular cell,ERdj5 is the ER Reductase that Catalyses the Removal of Non-Native Disulfides and Correct Folding of the LDL-Receptor,3906.43
175,23971731,BioMed Central,arthritis research and therapy,Transcriptomic signatures in cartilage ageing,1608.0
176,22738332/3381227,BioMed Central,biomed central,Long-term impact of systemic bacterial infection on the cerebral vasculature and microglia. ,1350.0
177,3533981,BioMed central,bmc  public health,Geographical access to care at birth n Ghana: a barrier to safe motherhood,1536.0
178,3398262,BioMed Central,bmc biology,Detailed interrogation of trypanosome cell biology via differential organelle staining and automated image analysis,1674.0
179,24020915/3846689,BioMed Central,bmc genetics,The physical capability of community-based mend and women from a British cohort: the European Prospective Investigation into Cancer (EPIC)-Norfolk study,1375.8
180,23442822,BioMed Central,bmc genome biology,Patterns of prokaryotic lateral gene transfers affecting parasitic microbial eukaryotes,2010.0
181,2843621,BioMed Central,bmc genomics,Trichomonas vaginalis vast BspA-like gene family: evidence for functional diversity from sructural organization and transcriptomics,1204.38
182,3636053,BioMed Central,bmc genomics,"Enhancing the utility of Proteomics Signature Profiling (PSP) with Pathway Derived Subnets (PDSs), performance analysis and specialised ontologies",1254.6
183,3526451,Biomed Central,bmc genomics,Advances in genome-wide RNAi cellular screens: a case study using the Drosophila JAK/STAT pathway,1476.0
184,3664635,BioMed Central,bmc health services research,Community groups as 'critical enablers' of the HIV response in Zimbabwe,1536.0
185,3570299,BioMed Central,bmc medical genetics,Maternal and offspring fasting glucose and type 2 diabetes-associated genetic variants and cognitive function at age 8: a Mendelian randomization study in the Avon Longitudinal Study of Parents and Children,1536.0
186,3616814,BioMed Central,bmc medicine,Associations between selected immune-mediated diseases and tuberculosis: record-linkage studies,1734.0
